,Pasal,Isi
115,Pasal 129,"Pakaian, perhiasan dan perkakas untuk mata pencaharian salah seorang dari suami isteri itu, beserta buku-buku dan koleksi benda-benda kesenian dan keilmuan, dan akhirnya surat-surat atau tanda kenang-kenangan yang bersangkutan dengan asal usul keturunan salah seorang dari suami isteri itu, boleh dituntut oleh pihak asal benda itu, dengan membayar harga yang ditaksir secara musyawarah atau oleh ahli-ahli."
116,Pasal 130,"Setelah pembubaran harta bersama, suami boleh ditagih atas utang dan harta bersama seluruhnya, tanpa mengurangi haknya untuk minta penggantian setengah dan utang itu kepada isterinya atau kepada para ahli waris si isteri."
117,Pasal 131,
118,Pasal 132,"Isteri berhak melepaskan haknya atas harta bersama; segala perjanjian yang bertentangan dengan ketentuan ini batal; sekali melepaskan haknya, dia tidak boleh menuntut kembali apa pun dari harta bersama, kecuali kain seprai dan pakaian pribadinya. Dengan pelepasan ini dia dibebaskan dan kewajiban untuk ikut membayar utang-utang harta bersama. Tanpa mengurangi hak para kreditur atas harta bersama, si isteri tetap wajib untuk melunasi utang- utang yang dari pihaknya telah jatuh ke dalam harta bersama; hal ini tidak mengurangi haknya untuk minta penggantian seluruhnya kepada suaminya atau ahli warisnya."
119,Pasal 133,"Isteri yang hendak menggunakan hak tersebut dalam pasal yang lalu, wajib untuk menyampaikan akta pelepasan, dalam waktu satu bulan setelah pembubaran harta bersama itu, kepada panitera Pengadilan Negeri di tempat tinggal bersama yang terakhir, dengan ancaman akan kehilangan hak itu (bila lalai). Bila gabungan itu bubar akibat kematian suaminya, maka tenggang waktu satu bulan berlaku sejak si isteri mengetahui kematian itu."
120,Pasal 134,"Bila dalam jangka waktu tersebut di atas isteri meninggal dunia, sebelum menyampaikan akta pelepasan. para ahli warisnya berhak melepaskan hak mereka atas harta bersama itu dalam waktu satu bulan setelah kematian itu, atau setelah mereka mengetahui kematian itu, dan dengan cara seperti yang diuraikan dalam pasal terakhir. Hak isteri untuk menuntut kembali kain seprai dan pakaiannya dan harta bersama itu, tidak dapat diperjuangkan oleh para ahli warisnya."
121,Pasal 135,"Bila para ahli waris tidak sepakat dalam tindakan, sehingga sebagian menerima dan yang lain melepaskan diri dari harta bersama itu, maka yang menerima itu, tidak dapat memperoleh lebih dari bagian warisan yang menjadi haknya atas barang-barang yang sedianya menjadi bagian isteri itu seandainya terjadi pemisahan harta. Sisanya dibiarkan tetap pada si suami, atau para ahli warisnya, yang sebaliknya berkewajiban terhadap ahli waris yang melakukan pelepasan, untuk memenuhi apa saja yang sedianya akan dituntut oleh si isteri dalam hal pelepasan, tetapi hanya sebesar bagian warisan yang menjadi hak ahli waris yang melakukan pelepasan."
122,Pasal 136,"Isteri yang telah menarik pada dirinya tidak berhak melepaskan diri dari harta bersama itu. Tindakan-tindakan yang menyangkut pengurusan semata-mata atau penyelamatan, tidak membawa akibat seperti itu."
123,Pasal 137,
124,Pasal 138,"Dalam hal gabungan harta bersama berakhir karena kematian si isteri para ahli warisnya dapat melepaskan diri dari harta bersama itu, dalam waktu dan dengan cara seperti yang diatur mengenai si isteri sendiri."
125,Pasal 140,"Perjanjian itu tidak boleh mengurangi hak-hak yang bersumber pada kekuasaan si suami sebagai suami, dan pada kekuasaan sebagai bapak, tidak pula hak-hak yang oleh undang- undang diberikan kepada yang masih hidup paling lama."
126,Pasal 141,"Para calon suami isteri, dengan mengadakan perjanjian perkawinan, tidak boleh melepaskan hak yang diberikan oleh undang-undang kepada mereka atas warisan keturunan mereka, pun tidak boleh mengatur warisan itu."
127,Pasal 142,
128,Pasal 143,"Mereka tidak boleh membuat perjanjian dengan kata-kata sepintas lalu, bahwa ikatan perkawinan mereka akan diatur oleh undang-undang, kitab undang-undang luar negeri, atau oleh beberapa adat kebiasaan, undang-undang, kitab undang-undang atau peraturan daerah, yang pernah berlaku di Indonesia."
129,Pasal 144,"Tidak adanya gabungan harta bersama tidak berarti tidak adanya keuntungan dan kerugian bersama, kecuali jika hal mi ditiadakan secara tegas. Penggabungan keuntungan dan kerugian diatur dalam Bagian 2 bab ini."
130,Pasal 145,"Juga dalam hal tidak digunakannya atau dibatasinya gabungan harta bersama, boleh ditetapkan dalam jumlah yang harus disumbangkan oleh si isteri setiap tahun dan hartanya untuk biaya rumah tangga dan pendidikan anak-anak."
131,Pasal 146,"Bila tidak ada perjanjian mengenai hal itu, hasil-hasil dan pendapatan dan harta isteri masuk penguasaan suami."
132,Pasal 147,"Perjanjian kawin harus dibuat dengan akta notaris sebelum pernikahan berlangsung, dan akan menjadi batal bila tidak dibuat secara demikian. Perjanjian itu akan mulai berlaku pada saat pernikahan dilangsungkan, tidak boleh ditentukan saat lain untuk itu."
133,Pasal 148,"Perubahan-perubahan dalam hal itu, yang sedianya boleh diadakan sebelum perkawinan dilangsungkan, tidak dapat diadakan selain dengan akta, dalam bentuk yang sama seperi akta perjanjian yang dulu dibuat. Lagi pula tiada perubahan yang berlaku jika diadakan tanpa kehadiran dan izin orang-orang yang telah menghadiri dan menyetujui perjanjian kawin itu."
134,Pasal 149,"Setelah perkawinan berlangsung, perjanjian kawin tidak boleh diubah dengan cara apa pun."
135,Pasal 150,"Jika tidak ada gabungan harta bersama, maka masuknya barang-barang bergerak, terkecuali surat-surat pendaftaran pinjaman-pinjaman negara dan efek-efek dan surat-surat piutang atas nama, tidak dapat dibuktikan dengan cara lain daripada dengan cara mencantumkannya dalam perjanjian kawin, atau dengan pertelaan yang ditandatangani oleh notaris dan pihak-pihak yang bersangkutan, dan dilekatkan pada surat asli perjanjian kawin, yang di dalamnya hal itu harus tercantum."
136,Pasal 151,"Anak di bawah umur yang memenuhi syarat-syarat untuk melakukan perkawinan, juga cakap untuk memberi persetujuan atas segala perjanjian yang boleh ada dalam perjanjian kawin, asalkan dalam pembuatan perjanjian itu, anak yang masih di bawah umur itu dibantu oleh orang yang persetujuannya untuk melakukan perkawinan itu diperlukan."
137,Pasal 152,"Ketentuan yang tercantum dalam perjanjian kawin, yang menyimpang dan harta bersama menurut undang-undang, seluruhnya atau sebagian, tidak akan berlaku bagi pihak ketiga sebelum hari pendaftaran ketentuan-ketentuan itu dalam daftar umum, yang harus diselenggarakan di kepaniteraan pada Pengadilan Negeri, yang di daerah hukumnya perkawinan itu dilangsungkan. atau kepaniteraan di mana akta perkawinan itu didaftarkan, jika perkawinan berlangsung di luar negeri."
138,Pasal 153,"Segala ketentuan mengenai gabungan harta bersama selalu berlaku selama tidak ada penyimpangan daripadanya, baik yang dibuat secara tertulis, maupun secara tersirat, dalam perjanjian kawin. Bagaimanapun sifat dan cara gabungan harta bersama diperjanjikan, isteri atau para ahli warisnya berhak untuk melepaskan diri daripadanya, dengan cara dan dalam hal- hal seperti yang diatur dalam bab yang lalu."
139,Pasal 154,"Perjanjian kawin, demikian pula hibah-hibah yang berkenaan dengan perkawinan, tidak berlaku bila tidak diikuti oleh perkawinan."
140,Pasal 156,"Masing-masing dan suami isteri mendapat separuh keuntungan dan memikul separuh kerugian, bila mengenai hal itu dalam perjanjian kawin tidak ada ketentuan-ketentuan lain."
141,Pasal 157,
142,Pasal 158,"Apa saja yang diperoleh seorang suami atau isteri selama perkawinan dan warisan, wasiat atau hibah, entah berasal dan keluarga entah dan orang lain, tidak termasuk keuntungan, dengan tidak mengurangi ketentuan Pasal 167."
143,Pasal 159,"Barang-barang tetap dan efek-efek yang dibeli selama perkawinan, atas nama siapa pun juga dianggap sebagai keuntungan, kecuali bila terbukti sebaliknya."
144,Pasal 160,"Naik atau turunnya harga barang salah seorang dan suami isteri itu, tidak dihitung sebagai keuntungan atau kerugian bersama."
145,Pasal 161,"Perbaikan barang-barang tetap, yang terjadi karena pertumbuhan tanah, perdamparan lumpur, penanganan oleh tukang kayu atau karena hal-hal lain, tidak dianggap sebagai keuntungan bersama, melainkan hanya menguntungkan pemilik barang-barang itu."
146,Pasal 162,"Kerusakan atau pengurangan karena kebakaran, kebanjiran, hanyut atau lain sebagainya, tidak termasuk kerugian bersama, tetapi menjadi beban si pemilik barang yang rusak atau berkurang itu."
147,Pasal 163,"Semua utang kedua suami isteri itu bersama-sama, yang dibuat selama perkawinan, harus dihitung sebagai kerugian bersama. Apa yang dirampas akibat kejahatan salah seorang dan suami isteri itu, tidak termasuk kerugian bersama itu."
148,Pasal 164,"Perjanjian, bahwa antara suami isteri hanya akan ada gabungan penghasilan dan pendapatan saja, mengandung arti secara diam-diam bahwa tiada gabungan harta bersama secara menyeluruh menurut undang-undang dan tiada pula gabungan keuntungan dan kerugian."
149,Pasal 165,"Barang-barang bergerak kepunyaan masing-masing suami isteri sewaktu melakukan perkawinan, harus dinyatakan dengan tegas dalam akta perjanjian kawin sendiri, atau dalam surat pertelaan yang ditandatangani oleh Notaris dan para pihak yang berjanji, dan dilekatkan pada akta asli perjanjian kawin, yang di dalamnya harus tercantum hal itu, baik jika gabungan"
150,Pasal 166,"Adanya barang-barang bergerak yang diperoleh masing-masing pihak dan suami isteri dengan pewarisan, hibah wasiat atau hibah biasa selama perkawinan harus diperlihatkan dengan surat pertelaan."
151,Pasal 167,"Yang termasuk penghasilan dan pendapatan ialah segala hibah wasiat atau hibah penerimaan uang tahunan, bulanan, mingguan dan sebagainya seperti juga cagak hidup, dan dengan demikian tercakup kedua jenis golongan yang dibicarakan dalam bagian ini."
152,Pasal 169,"Hibah-hibah itu dapat berkenaan dengan barang-barang yang telah ada seperti yang dirinci dalam akta hibahnya, dapat pula dengan seluruh atau sebagian harta warisan si penghibah."
153,Pasal 170,Pemberian hibah-hibah demikian itu berlaku biar pun disambut tanpa pernyataan setuju secara tegas oleh pihak yang diberi hibah.
154,Pasal 171,"Hibah-hibah itu dapat diberikan dengan persyaratan-persyaratan, yang pelaksanaannya tergantung pada kehendak si penghibah."
155,Pasal 172,
156,Pasal 173,"Hibah yang mencakup seluruh atau sebagian warisan si penghibah tidak dapat ditarik kembali, dengan pengertian, bahwa dia tidak lagi menguasai barang-barang yang termasuk dalam hibah itu, kecuali uang dalam jumlah-jumlah kecil untuk upah, atau untuk soal-soal lain menurut pertimbangan hakim. Bila syarat-syarat tidak dipenuhi, hibah-hibah itu dapat ditarik kembali."
157,Pasal 174,"Hibah yang terdiri dari barang-barang yang telah ada dan terinci secara tertentu, dan diberikan antara suami isteri dalam perjanjian kawin, tak dapat dianggap diberikan dengan syarat, bahwa penerimaan hibah harus hidup lebih lama daripada pemberinya, kecuali bila syarat yang dibuat secara tegas dalam perjanjian."
158,Pasal 175,"Tiada hibah seluruh atau sebagian dan warisan si penghibah, yang diberikan dalam perjanjian kawin, baik yang diberikan oleh yang seorang dan suami isteri kepada yang lain, maupun yang diberikan secara timbal balik, akan beralih kepada anak-anak yang lahir dan perkawinan mereka, bila yang diberi hibah meninggal sebelum si penghibah."
159,Pasal 177,"Bila hibah-hibah itu diberikan dalam perjanjian kawin, maka untuk berlakunya secara sah tidak perlu ada persetujuan tegas dan yang diberi hibah; sebaliknya bila hibah itu diberikan dengan akta tersendiri, maka hal itu tidak mempunyai akibat kecuali setelah ada persetujuan tegas untuk menerima."
160,Pasal 178,"Suatu hibah yang terdiri dan seluruh atau sebagian warisan si penghibah, meskipun diberikan hanya untuk kedua suami isteri atau untuk salah seorang dan mereka, selalu dianggap diberikan untuk anak-anak dan keturunan mereka, bila si penghibah hidup lebih lama daripada yang"
161,Pasal 179,"Ketentuan-ketentuan dalam pasal-pasal 169, 171, 172, dan 173, berlaku juga pada hibah-hibah yang dibicarakan dalam bagian ini."
162,Pasal 181,"Akan tetapi pada perkawinan kedua atau berikutnya, bila ada anak dan keturunan dan perkawinan yang sebelumnya, suami atau isteri yang baru, oleh percampuran harta dan utang- utang pada suatu gabungan, tidak boleh memperoleh keuntungan yang lebih besar daripada jumlah bagian terkecil yang diperoleh seorang anak atau bila anak itu telah meninggal lebih dahulu, oleh turunannya dalam penggantian ahli waris, dengan ketentuan, bahwa keuntungan ini sekali-kali tidak boleh melebihi seperempat bagian dan harta benda suami atau isteri yang kawin lagi itu."
163,Pasal 182,"Suami atau isteri, yang mempunyai anak-anak dan perkawinan yang terdahulu dan melakukan perkawinan berikutnya, tidak boleh menyediakan kepada suami atau isteri yang baru, dengan perjanjian kawin itu, keuntungan-keuntungan yang lebih daripada yang tersebut dalam pasal sebelum ini."
164,Pasal 183,Suami isteri tidak diperkenankan dengan cara yang berliku-liku saling memberi hibah lebih daripada yang diperkenankan dalam ketentuan-ketentuan di atas.
165,Pasal 184,
166,Pasal 184a,"Pasal-pasal 181-184, dalam hal suami isteri yang kawin kembali satu sama lain, tidak berlaku bagi anak-anak atau keturunan dan perkawinan mereka yang terdahulu."
167,Pasal 185,"Juga jika ada anak-anak dan perkawinan yang dulu, maka keuntungan dan kerugian harus dibagi rata antara suami isteri, kecuali bila peraturan tentang itu ditiadakan atau diubah oleh perjanjian kawin."
168,Pasal 187,Tuntutan akan pemisahan harta benda harus diumumkan secara terbuka.
169,Pasal 188,Orang yang berpiutang kepada si suami dapat ikut campur dalam penyidangan perkara untuk menentang tuntutan akan pemisahan harta benda itu.
170,Pasal 189,"Putusan Hakim yang mengabulkan tuntutan akan pemisahan harta benda itu, sebelum pelaksanaannya, harus diumumkan secara terbuka, dengan ancaman menjadi batal pelaksanaannya bila tidak dipenuhi persyaratan pengumuman itu. Putusan tentang"
171,Pasal 190,"Selama penyidangan, isteri boleh melakukan tindakan-tindakan, dengan seizin Hakim, untuk menjaga agar barang-barangnya tidak hilang atau diboroskan si suami."
172,Pasal 191,"Keputusan di mana pemisahan harta benda diizinkan, hapus menurut hukum, bila hal itu tidak dilaksanakan secara sukarela dengan pembagian barang-barang itu, seperti yang ternyata dan akta otentik tentang itu; atau bila dalam waktu satu bulan setelah putusan itu memperoleh kekuatan hukum tetap, si isteri tidak mengajukan tuntutan untuk pelaksanaannya kepada Hakim dan tidak melanjutkan penuntutan secara teratur"
173,Pasal 192,"Para kreditur si suami yang tidak turut campur dalam penyidangan, boleh menentang pemisahan itu, meskipun hal itu telah dilaksanakan, bila hak-hak mereka dengan adanya pelaksanaan itu, secara sengaja dirugikan."
174,Pasal 193,"Meskipun ada pemisahan harta benda, si isteri wajib memberi sokongan untuk biaya rumah tangga dan pendidikan anak-anak yang dilahirkan olehnya karena perkawinan dengan si suami, menurut perbandingan antara harta si isteri dan harta si suami. Bila si suami ada dalam keadaan tidak mampu, biaya-biaya itu menjadi tanggungan si isteri saja."
175,Pasal 194,"Isteri yang berpisah harta benda dengan suaminya, memperoleh kembali kebebasan untuk mengurusnya, dan meskipun ada ketentuan-ketentuan Pasal 108, dia dapat memperoleh izin umum dan hakim untuk menguasai barang-barang bergeraknya."
176,Pasal 195,"Suami tidak bertanggung jawab kepada isterinya, bila si isteri setelah berpisah harta bendanya, telah lalai untuk memanfaatkan atau menanamkan kembali uang penjualan barang tetap yang telah dipindahtangankannya atas izin yang diperolehnya dan Hakim, kecuali bila si suami ikut membantu dalam mengadakan kontrak, atau bila dapat dibuktikan, bahwa uang itu telah diterima oleh suami, atau telah dipergunakan untuk kepentingan suami."
177,Pasal 196,"Gabungan harta benda yang telah dibubarkan, dapat dipulihkan kembali atas persetujuan kedua suami isteri. Persetujuan yang demikian tidak boleh diadakan selain dengan akta otentik."
178,Pasal 197,"Bila gabungan harta bersama itu telah pulih kembali, barang-barangnya dikembalikan ke keadaan semula, seakan-akan tidak pernah ada pemisahan, tanpa mengurangi kewajiban si"
179,Pasal 198,"Suami isteri itu wajib untuk mengumumkan pemulihan kembali gabungan harta bersama itu secara terbuka. Selama pengumuman seperti itu seperti itu belum dilaksanakan, suami isteri itu tidak boleh mempersoalkan akibat-akibat pemulihan gabungan harta bersama itu dengan pihak-pihak ketiga."
